#F area(in ares) distance(in kilometers from the farm)
#T speed(in kilometers per hour) capacity(in tons)
#H speed(in kilometers per hour) harvestspeed(in m2 per minute) capacity(in tons)

F 1200 16
F 2000 20
F 4000 24
F 6000 28
T 80 100
T 100 100
T 100 150
H 20 100 20
H 30 100 20
H 30 150 30
H 20 100 20
H 30 100 20
H 30 150 30
H 30 100 20
H 30 100 20
H 30 100 20
H 30 100 20
H 30 100 20
H 30 100 20
H 30 150 30
H 20 100 20
H 20 100 20
H 30 150 30
H 20 100 20
H 20 100 20
H 30 150 30
H 20 100 20
H 20 100 20
H 30 150 30
H 20 100 20
H 20 100 20
H 30 150 30
H 20 100 20
H 20 100 20
H 30 150 30
H 20 100 20
H 20 100 20
H 30 100 20
H 30 150 30
H 20 100 20


